age,gender,visa_type,documents_submitted,visa_granted,rejection_reason
43,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
52,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary",No,Failed health requirements
38,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,Unclear travel purpose
23,Female,Work Visa,"Passport, Bank Statement, Police Clearance, Work Experience Letters",No,Employer not verified
26,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
48,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
56,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
21,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
45,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Academic documents incomplete
18,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
26,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
51,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
22,Other,Visit Visa,"Passport, Travel Insurance, Itinerary, Invitation Letter",No,Suspicious travel history
54,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Employer not verified
57,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Missing documents
26,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
44,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
32,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
46,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
19,Male,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,IELTS requirement not met
51,Other,Visit Visa,"Bank Statement, Itinerary, Invitation Letter",No,Invalid or expired passport
22,Other,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,Academic documents incomplete
23,Male,Visit Visa,"Passport, Travel Insurance, Itinerary, Invitation Letter",No,Invalid or expired passport
31,Female,Student Visa,"Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Employer not verified
39,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
40,Male,Visit Visa,"Passport, Travel Insurance, Invitation Letter",No,IELTS requirement not met
25,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
30,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Unclear travel purpose
31,Other,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Work Experience Letters",No,Insufficient funds
40,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
24,Other,Visit Visa,"Passport, Bank Statement, Invitation Letter",No,Academic documents incomplete
32,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,IELTS requirement not met
24,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
39,Male,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Inconsistent information
24,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
38,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
21,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
45,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Inconsistent information
43,Female,Visit Visa,"Passport, Travel Insurance, Invitation Letter",No,Employer not verified
58,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Birth Certificate",No,Suspicious travel history
37,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance",No,Unclear travel purpose
37,Other,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Academic documents incomplete
50,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
43,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
52,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
54,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
47,Female,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Academic documents incomplete
38,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
48,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
23,Male,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Unclear travel purpose
56,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
37,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Suspicious travel history
58,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
59,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,IELTS requirement not met
37,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
58,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Inconsistent information
29,Female,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,Inconsistent information
40,Other,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Inconsistent information
50,Other,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,Inconsistent information
18,Other,Visit Visa,"Passport, Bank Statement, Invitation Letter",No,Missing documents
56,Female,Visit Visa,"Passport, Itinerary, Invitation Letter",No,Academic documents incomplete
19,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
21,Other,Student Visa,"Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Missing documents
32,Other,Work Visa,"Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Inconsistent information
57,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
35,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
38,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
34,Female,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency",No,IELTS requirement not met
26,Female,Work Visa,"Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Suspicious travel history
23,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,No strong home-country ties
30,Female,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,IELTS requirement not met
47,Female,Work Visa,"Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,Insufficient funds
50,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
41,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
27,Female,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Incorrect application form
22,Female,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Unclear travel purpose
28,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
20,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
35,Male,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency",No,Insufficient funds
46,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
35,Female,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,Failed health requirements
51,Other,Work Visa,"Passport, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Insufficient funds
24,Other,Visit Visa,"Passport, Travel Insurance, Itinerary",No,Failed health requirements
31,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
36,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,No strong home-country ties
36,Other,Visit Visa,"Bank Statement, Itinerary, Invitation Letter",No,Incorrect application form
58,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,IELTS requirement not met
35,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Invitation Letter",No,Missing documents
55,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
35,Male,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Insufficient funds
23,Male,Student Visa,"Passport, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Suspicious travel history
34,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, Birth Certificate",No,Employer not verified
30,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
54,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency",No,Incorrect application form
54,Female,Visit Visa,"Passport, Travel Insurance, Itinerary",No,Invalid or expired passport
36,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
23,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
55,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
27,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency",No,No strong home-country ties
21,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
45,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
31,Female,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Suspicious travel history
37,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Invitation Letter",No,IELTS requirement not met
49,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
37,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
57,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
37,Other,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,IELTS requirement not met
23,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
23,Male,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Missing documents
55,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,IELTS requirement not met
34,Other,Visit Visa,"Passport, Travel Insurance, Itinerary, Invitation Letter",No,Insufficient funds
51,Female,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,Suspicious travel history
32,Other,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,Academic documents incomplete
49,Female,Visit Visa,"Bank Statement, Travel Insurance, Itinerary",No,Employer not verified
30,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance",No,Employer not verified
47,Other,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Failed health requirements
22,Male,Visit Visa,"Passport, Bank Statement, Itinerary",No,Suspicious travel history
51,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Invitation Letter",No,No strong home-country ties
27,Male,Student Visa,"Passport, Offer Letter, Medical Certificate, English Proficiency, Birth Certificate",No,Academic documents incomplete
58,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
40,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Failed health requirements
56,Other,Visit Visa,"Bank Statement, Travel Insurance, Invitation Letter",No,Unclear travel purpose
19,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
19,Male,Visit Visa,"Travel Insurance, Itinerary, Invitation Letter",No,Inconsistent information
34,Male,Visit Visa,"Passport, Bank Statement, Itinerary, Invitation Letter",No,Employer not verified
30,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
48,Male,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Unclear travel purpose
22,Male,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Invalid or expired passport
37,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
25,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
53,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
29,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",No,Employer not verified
22,Female,Visit Visa,"Passport, Bank Statement, Invitation Letter",No,Failed health requirements
52,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
32,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
54,Male,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,Employer not verified
22,Other,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,Suspicious travel history
38,Other,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,No strong home-country ties
54,Female,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Failed health requirements
47,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance",No,No strong home-country ties
25,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
30,Male,Work Visa,"Passport, Job Offer Letter, Medical Certificate, Police Clearance, Work Experience Letters",No,No strong home-country ties
44,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
49,Other,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
59,Male,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
38,Other,Work Visa,"Passport, Bank Statement, Police Clearance, Work Experience Letters",No,Inconsistent information
32,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
33,Female,Student Visa,"Passport, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,Missing documents
22,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,No strong home-country ties
34,Male,Visit Visa,"Passport, Travel Insurance, Itinerary, Invitation Letter",No,Employer not verified
26,Other,Student Visa,"Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",No,No strong home-country ties
43,Female,Student Visa,"Passport, Offer Letter, Medical Certificate, Birth Certificate",No,Incorrect application form
47,Other,Visit Visa,"Bank Statement, Travel Insurance, Itinerary, Invitation Letter",No,Insufficient funds
46,Male,Visit Visa,"Passport, Bank Statement, Travel Insurance, Itinerary, Invitation Letter",Yes,
37,Other,Work Visa,"Passport, Job Offer Letter, Bank Statement, Police Clearance, Work Experience Letters",No,Academic documents incomplete
27,Female,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
33,Other,Student Visa,"Passport, Medical Certificate, English Proficiency, Birth Certificate",No,IELTS requirement not met
35,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
21,Male,Work Visa,"Passport, Job Offer Letter, Police Clearance, Work Experience Letters",No,Failed health requirements
57,Other,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
54,Female,Work Visa,"Passport, Job Offer Letter, Bank Statement, Medical Certificate, Police Clearance, Work Experience Letters",Yes,
20,Other,Student Visa,"Passport, Offer Letter, Bank Statement, English Proficiency, Birth Certificate",No,IELTS requirement not met
44,Male,Student Visa,"Passport, Offer Letter, Bank Statement, Medical Certificate, English Proficiency, Birth Certificate",Yes,
